Name,Link
shanks john peter cleaver,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000284
sheats charles christopher,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000314
sheldon lionel allen,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000322
sheridan george augustus,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000341
sherman john,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000346
sherwood isaac r.,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000355
shoemaker lazarus denison,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000375
sloan andrew,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000489
sloss joseph humphrey,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000498
small william bradbury,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000501
smart james stevenson,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000504
smith abraham herr,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000509
smith george luke,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000539
smith horace boardman,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000552
smith john ambler,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000568
smith john quincy,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000574
smith william alexander,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000630
snyder oliver p.,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000671
southard milton isaiah,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000688
speer robert milton,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000713
spencer george eliphaz,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000723
sprague william,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000747
sprague william peter,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000748
st. john charles,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000765
stanard edwin obed,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000787
standiford elisha david,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000790
starkweather henry howard,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000815
steele william randolph,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000840
stephens alexander hamilton,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000854
stevens charles abbot,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000877
stevenson john white,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000894
stewart william morris,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000922
stockton john potter,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000939
stone william henry,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000967
storm john brutzman,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000975
stowell william henry harrison,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000985
strait horace burton,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000988
strawbridge james dale,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001001
sumner charles,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001068
swann thomas,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001092
sypher jacob hale,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001140
taylor alexander wilson,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000063
